序号,订单编号,所属用户,姓名,级别,所属国家,认证国家,所属上级,产品,购买方向,交易模式,初始保证金,最终保证金,包含体验金,杠杆,执行价,仓位,止盈价,止损价,当前价格,实时盈亏,手续费,追加手续费,每日过夜费用,过夜总费用,是否过夜,设备类型,下单时间,
0,cccef583618d42e998188205e75ec509,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32811.46000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.302925,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:34:02,
1,40e5a341ef1b4d08b1fd88af058c9d78,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32811.46000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.302925,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:34:01,
2,b3d500c14b244a19afe972a1d1f78ed1,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32811.46000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.302925,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:34:01,
3,597ac132bc7440bdb7ae73f1a6a96852,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.82250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300982,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:34:00,
4,5b0f85cc37284ffe974a910eaa9f60bb,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.82250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300982,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:34:00,
5,50728eb92c844c59b2bded82e1270c93,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.82250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300982,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:59,
6,5c428ad7103c4f02ae1ded3dd4a41c77,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.96000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.307495,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:58,
7,d93513740048483e96c1939cf6372085,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.82250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300982,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:58,
8,2093ceaf877d46caa08ea6efd8eb6725,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.96000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.307495,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:58,
9,062608ee3f8a49e4b5181f6b2de8e289,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.96000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.307495,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:57,
10,014bc13c0e2143a9b7df1ae917d0be7b,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.96000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.307495,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:56,
11,21ac9d29f3d845b4b6a81a53b10992f2,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.96000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.307495,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:56,
12,ff1c5212b16340e5b20f12c58fc486a1,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32814.11500000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.311014,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:55,
13,812b6555b2244311b77879e488826985,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32814.11500000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.311014,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:55,
14,1c460b462cc24f02a391a36bdc990fe3,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32813.27500000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.308455,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:54,
15,2310ab2d40a544b0abe28dae11a1bee3,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32813.27500000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.308455,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:54,
16,7b7a4ef14e8d46e2a1856f580de02520,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.00000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.304570,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:53,
17,416eecdf654a41a681188109f890574b,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.00000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.304570,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:53,
18,b4da1ba4c97149ca943aa516536f4ea6,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32811.04000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.301645,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:52,
19,265288ecded04175b3f78f2b1c831fa2,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32811.04000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.301645,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:52,
20,bbefaa3b38e3415f80a45d1ecf4db059,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.77750000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300845,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:51,
21,cc85dbb40e2a44b09406b1ce2d3bfb73,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.77750000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300845,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:51,
22,dc3c5535063e4a7db8e855c49567e204,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.77750000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300845,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:50,
23,f39e8e587a63415c943f90868db1c66a,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.77750000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300845,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:50,
24,3937a78606da45c68c436946aad5150a,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.77750000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300845,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:49,
25,ae22c6169a7340fea8d3cf0fd6747724,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.77750000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.300845,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:49,
26,2b812d40339a4161be0ca978ba051d2c,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.40250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.299702,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:48,
27,edadb612debf4ef08375dc16e5921b8a,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.40250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.299702,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:48,
28,95c2d2079cdb4919a743b94619c1b371,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.39500000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.299680,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:47,
29,ee625e26adad43be9d4cc3c123cd98d7,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32810.39500000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.299680,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:47,
30,c4b98071d5834875a78c3baf20e746c6,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32807.50500000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.290969,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:46,
31,3c6f0e8481d647aa939108e16e0ced90,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32807.50500000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.290969,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:46,
32,c6aab7b0196d4bee99799fc23b1e512e,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32808.72000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.294576,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:45,
33,191ea1b3421b4ce58e91cb2c1fde0545,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32808.72000000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.294576,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:45,
34,dc0180320d93433ea58003d7db3767a7,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32806.42500000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.287677,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:44,
35,e05bac9b2bb14e999f81e64c612a7c2e,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32806.42500000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.287677,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:44,
36,1e1e23c07a994a5eae47d479a4f06ec0,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32805.17250000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.283860,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:43,
37,7c93746d5fc64187901da5dff5f6815a,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32805.17250000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.283860,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:43,
38,e0c84cb612f446faa0fd95652a4eef63,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32804.52500000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.281886,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:42,
39,6c5d853e1e8c4473a3d03039174f40f8,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32804.52500000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.281886,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:42,
40,24547c29d9a843de840c6aece617a332,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32802.71750000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.276377,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:41,
41,72d4a8281af34b21873bcd7b2ebacc7c,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32803.07750000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.277474,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:40,
42,61e491b8055642dca848d5740260913c,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32804.52500000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.281886,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:40,
43,cf2272d296f641f5b105a75ae65f9db2,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32803.07750000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.277474,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:40,
44,ebd36b501f504922969b394e090c5d63,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32804.52500000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.281886,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:39,
45,a9e0b72893334128ad11f966fd53d135,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32811.95250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.304425,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:38,
46,e6b428368aac49cdb9e711666773bf4d,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32811.95250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.304425,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:38,
47,e7cebf474130470889bc747f83ea5777,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32808.74250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.294644,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:37,
48,87608522afd84029aca8f67feab5be75,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32808.74250000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.294644,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:37,
49,b491c059c8564b90823e9f9a50e6550d,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.66500000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.306596,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:36,
50,843c59214ae54c9c984a87513cb4ceff,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32812.66500000,0.003047,39078.70000000,29960.33000000,32712.04250000,-0.306596,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:36,
51,966f1ff76229447daebe4e869f8cb4c5,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32804.34000000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.281322,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:35,
52,ab4d22d7551e4ed8959a41925cd85b63,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32804.34000000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.281322,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:35,
53,4de95346aee7408ea0214d89700653be,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32799.66000000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.267058,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:34,
54,8b58d6ac786d4614964d827bbe633b03,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32799.66000000,0.003048,39078.70000000,29960.33000000,32712.04250000,-0.267058,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:34,
55,f01dc27a647745ffb627dcd1053d8f82,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32794.58500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.251672,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:33,
56,b6c246a22f814858b1b8e4474d9955ee,	10555200,,普通用户,其他,其他,	moonxbt,BTC,买涨,杠杆模式,10.000000,10.000000,10.000000,10.000000,32794.58500000,0.003049,39078.70000000,29960.33000000,32712.04250000,-0.251672,0.050000,0.000000,0.060000,0.000000,是,Web,2021-06-24 11:33:33,
